"ScenarioExecutionId","FeatureExecutionId","ScenarioId","ScenarioName","Description","Duration","CreatedBy"
"SE1";"FE1";"@Test";"Test sample";"";"1";"Info Origin"
"SE2";"FE1";"@SampleAPITest";"Test API automation";"";"1";"Info Origin"
"SE3";"FE2";"@Platform";"dummy_UI: Verify Home button in InfoOrigin website";"";"1";"Info Origin"
"SE4";"FE2";"@Platform";"dummy_UI: Verify Platform button in InfoOrigin website";"";"1";"Info Origin"
"SE5";"FE2";"@Leave_message";"dummy_UI: Fill Leave message form in InfoOrigin website";"";"1";"Info Origin"
"SE6";"FE3";"@Service";"dummy_UI: Verify Services button in InfoOrigin website";"";"1";"Info Origin"
"SE7";"FE3";"@Career";"dummy_UI: Verify Careers button in InfoOrigin website";"";"1";"Info Origin"
"SE8";"FE3";"@Outline_test";"dummy_UI: Verify Careers button in InfoOrigin website";"";"1";"Info Origin"
"SE9";"FE3";"@Outline_test";"dummy_UI: Verify Careers button in InfoOrigin website";"";"1";"Info Origin"
"SE10";"FE4";"@IO";"dummy_UI: Scenario Verify Home button in InfoOrigin website";"";"1";"Info Origin"
"SE11";"FE4";"@Zoho";"dummy_UI: Scenario to login into Zoho";"";"1";"Info Origin"
